Hand,RAISE 100,CALL,FOLD,RAISE 100 EV,CALL EV,FOLD EV
9s9h,99.9847412,0.01525879,0,32.3906136,28.4376087,0
9s2s,0.5065918,98.5046506,0.98875761,0.64283085,0.76638699,0
9s3s,11.0717773,88.8000607,0.12816191,1.26418591,1.2666111,0
9s4s,0.65765381,99.1592526,0.18309355,0.97378635,1.16951275,-0.000001
9s5s,8.52050781,91.4123654,0.06712675,2.93439102,2.93751001,0
9s6s,59.6679807,40.3076172,0.02440214,4.57151604,4.5545783,0.00000095
9s7s,95.840466,4.1595459,0,6.44159603,6.40035009,-0.000001
9s8s,92.2973752,7.70263672,0,9.39453709,9.3753885,0.00000095
Ts2c,0.03662109,0.05950928,99.9038696,-3.5793743,-2.2191725,0
Ts3c,0.03662109,0.05950928,99.9038696,-2.9790268,-1.9749041,0.00000095
Ts4c,0.03662109,0.07629395,99.887085,-3.3535776,-1.7304993,0
Ts5c,0.03662109,0.07629395,99.887085,-2.2343473,-1.0945921,0
Ts6c,0.26550293,0.33111572,99.4033813,-0.973587,-0.3691816,0
Ts7c,5.8380127,93.6035275,0.55845976,0.64363289,0.65388966,-0.000001
Ts8c,23.6328125,76.3305783,0.03660917,3.43047762,3.4239378,0
Ts9c,18.6767578,81.3232541,0,6.22353029,6.21357274,0.00000095
TsTc,99.9847412,0.01525879,0,45.8135872,35.3198986,0.00000095
Ts2d,0.03662109,0.05950928,99.9038696,-3.5793743,-2.2191725,0
Ts3d,0.03662109,0.05950928,99.9038696,-2.9790268,-1.9749041,0.00000095
Ts4d,0.03662109,0.07629395,99.887085,-3.3535776,-1.7304993,0
Ts5d,0.03662109,0.07629395,99.887085,-2.2343473,-1.0945921,0
Ts6d,0.26550293,0.33111572,99.4033813,-0.973587,-0.3691816,0
Ts7d,5.8380127,93.6035275,0.55845976,0.64363289,0.65388966,-0.000001
Ts8d,23.6328125,76.3305783,0.03660917,3.43047762,3.4239378,0
Ts9d,18.6767578,81.3232541,0,6.22353029,6.21357274,0.00000095
TsTd,99.9847412,0.01525879,0,45.8135872,35.3198986,0.00000095
Ts2h,0.03662109,0.05950928,99.9038696,-3.5793743,-2.2191725,0
Ts3h,0.03662109,0.05950928,99.9038696,-2.9790268,-1.9749041,0.00000095
Ts4h,0.03662109,0.07629395,99.887085,-3.3535776,-1.7304993,0
Ts5h,0.03662109,0.07629395,99.887085,-2.2343473,-1.0945921,0
Ts6h,0.26550293,0.33111572,99.4033813,-0.973587,-0.3691816,0
Ts7h,5.8380127,93.6035275,0.55845976,0.64363289,0.65388966,-0.000001
Ts8h,23.6328125,76.3305783,0.03660917,3.43047762,3.4239378,0
Ts9h,18.6767578,81.3232541,0,6.22353029,6.21357274,0.00000095
TsTh,99.9847412,0.01525879,0,45.8135872,35.3198986,0.00000095
Ts2s,0.44250488,99.5239377,0.03355742,1.5704813,1.76390839,0
Ts3s,0.73394775,99.1653562,0.10069609,1.88209534,1.89078522,0
Ts4s,0.28533936,99.7146726,0,1.90071201,2.47549534,0
Ts5s,0.58441162,99.3270993,0.08848906,3.23854923,3.37610149,0
Ts6s,30.6396484,69.3359494,0.02440214,4.95492649,4.94536877,0
Ts7s,72.7539182,27.2460938,0,5.98846579,5.96673393,0.00000095
Ts8s,45.2148438,54.7851682,0,8.13302135,8.11803281,0.00000095
Ts9s,68.7011838,31.2988281,0,11.4413322,11.4235125,0
Js2c,0.03662109,0.07629395,99.887085,-2.5183172,-1.2146101,0
Js3c,0.03662109,0.07629395,99.887085,-2.0360403,-1.1104994,0
Js4c,0.02441406,0.22277832,99.7528076,-1.3159151,-0.3804054,0
Js5c,0.18310547,0.35858154,99.458313,-1.1437235,-0.1904793,0
Js6c,0.14190674,1.13525391,98.7228394,-0.8724613,-0.0507021,0.00000095
Js7c,0.39520264,98.7793088,0.82548857,0.39896488,0.52654552,0.00000095
Js8c,3.13110352,96.8200803,0.0488162,2.62583542,2.62236166,0
Js9c,18.7988281,81.2011838,0,6.23265433,6.22051835,0
JsTc,13.3544922,86.6455197,0,9.56380054,9.55118367,0.00000095
JsJc,99.9847412,0.01525879,0,60.8755913,41.130022,0
Js2d,0.03662109,0.07629395,99.887085,-2.5183172,-1.2146101,0
Js3d,0.03662109,0.07629395,99.887085,-2.0360403,-1.1104994,0
Js4d,0.02441406,0.22277832,99.7528076,-1.3159151,-0.3804054,0
Js5d,0.18310547,0.35858154,99.458313,-1.1437235,-0.1904793,0
Js6d,0.14190674,1.13525391,98.7228394,-0.8724613,-0.0507021,0.00000095
Js7d,0.39520264,98.7793088,0.82548857,0.39896488,0.52654552,0.00000095
Js8d,3.13110352,96.8200803,0.0488162,2.62583542,2.62236166,0
Js9d,18.7988281,81.2011838,0,6.23265433,6.22051835,0
JsTd,13.3544922,86.6455197,0,9.56380054,9.55118367,0.00000095
JsJd,99.9847412,0.01525879,0,60.8755913,41.130022,0
Js2h,0.03662109,0.07629395,99.887085,-2.5183172,-1.2146101,0
Js3h,0.03662109,0.07629395,99.887085,-2.0360403,-1.1104994,0
Js4h,0.02441406,0.22277832,99.7528076,-1.3159151,-0.3804054,0
Js5h,0.18310547,0.35858154,99.458313,-1.1437235,-0.1904793,0
